6.431075,0.34209,-0.72408,0.11508,5.14856,5.15375
6.446234,0.34146,-0.72240,0.11711,5.14856,5.15394
6.461267,0.34090,-0.72702,0.11396,5.14856,5.15085
6.476337,0.34034,-0.72856,0.11291,5.14856,5.14941
6.491517,0.34230,-0.72044,0.11235,5.14856,5.15594
6.509979,0.34096,-0.72234,0.11056,5.14856,5.15340
6.524960,0.33894,-0.72520,0.10787,5.14856,5.14960
6.540190,0.33747,-0.72457,0.10521,5.14856,5.14826
6.555181,0.33698,-0.72436,0.10570,5.14856,5.14782
6.570324,0.33922,-0.72128,0.10717,5.14856,5.15200
6.585371,0.34062,-0.72366,0.10668,5.14856,5.15232
6.603715,0.34482,-0.72604,0.10619,5.14856,5.15578
6.618708,0.34342,-0.72128,0.10143,5.14856,5.15676
6.633748,0.34188,-0.72205,0.10311,5.14856,5.15460
6.648881,0.33726,-0.72436,0.10815,5.14856,5.14814
6.663877,0.33740,-0.72240,0.12040,5.14856,5.14933
6.682215,0.33754,-0.72044,0.10756,5.14856,5.15054
6.697311,0.34202,-0.72352,0.10269,5.14856,5.15397
6.712509,0.33999,-0.72310,0.10913,5.14856,5.15190
6.727565,0.33390,-0.72184,0.11557,5.14856,5.14565
6.742581,0.33656,-0.72919,0.10696,5.14856,5.14481
6.757642,0.33922,-0.73164,0.10409,5.14856,5.14653
6.772747,0.33614,-0.71988,0.10703,5.14856,5.14924
6.791148,0.33726,-0.72324,0.10597,5.14856,5.14873
6.806157,0.33894,-0.72828,0.10437,5.14856,5.14797
6.821187,0.34482,-0.72408,0.10217,5.14856,5.15683
6.836219,0.34678,-0.72268,0.10147,5.14856,5.15979
6.851299,0.34174,-0.72716,0.10157,5.14856,5.15172
6.866345,0.34167,-0.72688,0.10157,5.14856,5.15179
6.884778,0.34146,-0.72604,0.10157,5.14856,5.15200
6.899819,0.34314,-0.72408,0.10927,5.14856,5.15494
6.914929,0.34055,-0.72373,0.10896,5.14856,5.15220
6.929955,0.33110,-0.72268,0.10801,5.14856,5.14200
6.945126,0.33306,-0.72534,0.10304,5.14856,5.14285
6.960159,0.33502,-0.72800,0.09807,5.14856,5.14369
6.978676,0.33368,-0.72307,0.10773,5.14856,5.14474
6.993808,0.33467,-0.72282,0.10682,5.14856,5.14601
7.008952,0.33866,-0.72576,0.10409,5.14856,5.14898
7.024267,0.33838,-0.72723,0.10420,5.14856,5.14789
7.039414,0.33810,-0.72772,0.10423,5.14856,5.14732
